Coefficient,MAE,ExpVar
4.652245711475004,5.126071445374534,0.934761019889277
1.0221424538740094,5.126071445374534,0.934761019889277
0.12708193900758458,5.126071445374534,0.934761019889277
0.22454137850194975,5.126071445374534,0.934761019889277
0.28015602640655657,5.126071445374534,0.934761019889277
0.9788700156368959,5.126071445374534,0.934761019889277
1.074500898413519,5.126071445374534,0.934761019889277
1.3775479126655843,5.126071445374534,0.934761019889277
0.199761737641535,5.126071445374534,0.934761019889277
1.4352976984323778,5.126071445374534,0.934761019889277
0.5729641382475748,5.126071445374534,0.934761019889277
1.9295547452335977,5.126071445374534,0.934761019889277
0.1474846982054747,5.126071445374534,0.934761019889277
0.523308204287174,5.126071445374534,0.934761019889277
0.4338654131418367,5.126071445374534,0.934761019889277
0.5959359611574981,5.126071445374534,0.934761019889277
0.6066765094679203,5.126071445374534,0.934761019889277
0.2769392259999855,5.126071445374534,0.934761019889277
1.0818892396952156,5.126071445374534,0.934761019889277
19.841663450457933,5.126071445374534,0.934761019889277
0.19134791418718788,5.126071445374534,0.934761019889277
0.7065925831308009,5.126071445374534,0.934761019889277
5.969742267185955,5.126071445374534,0.934761019889277
